hour_of_day,day_of_week,month,drivers_nearby,local_demand_score,is_raining,lead_time_minutes,trip_distance_km,is_airport_trip,label_assigned
17,4,1,4,0.0775585784796522,1,60,6.721966855811177,0,1
12,0,5,1,0.605036831770295,0,15,6.99031971206736,0,1
19,2,12,10,0.3976598886459324,0,60,14.68012660429963,0,1
6,3,1,19,0.3281356405604423,0,120,11.562275850981111,0,1
14,3,6,6,0.8164836458698906,0,15,8.246567455070336,0,1
20,6,10,9,0.3399412896822168,1,120,16.271697086998326,0,1
5,4,9,0,0.012672481321601925,0,15,12.5183146830018,0,1
20,5,10,1,0.48955660402709156,0,45,2.084272196342527,0,0
19,2,1,4,0.8906839444756349,0,45,12.929967774207126,0,1
6,5,7,16,0.6329490646601487,1,60,16.68122640436536,0,1
21,4,2,10,0.45650996203572314,0,120,19.6647376971858,0,1
10,1,10,15,0.49637313635276403,0,60,9.391151292114325,1,1
11,6,2,11,0.3847068178273416,0,60,8.950437523843812,0,1
18,6,3,3,0.9350510596800884,0,60,9.59552003033752,0,0
12,2,9,2,0.5589170021007963,1,60,17.696559456279164,0,0
13,1,2,4,0.06422457549347516,1,120,7.715365273188815,0,0
6,2,11,14,0.4222374817609612,0,30,14.688637655045541,0,1
14,0,10,3,0.1356238613985622,0,30,11.150855166689773,0,1
16,4,6,3,0.6842670754387656,0,120,4.004357194187994,0,1
12,5,2,9,0.6546258911949606,0,30,3.375923344940765,0,1
7,2,5,11,0.5452741258180926,0,30,11.380369372503337,0,1
17,3,2,14,0.2701508420872548,0,120,3.4495475904661084,0,1
8,5,7,20,0.1417335978458446,0,120,7.266917363757316,0,1
21,1,12,1,0.33639622299381566,1,30,3.852844088171734,0,0
4,5,11,5,0.34018972777680156,0,120,18.348201529547268,0,1
16,3,7,0,0.4436675716613746,0,60,18.198324584176966,0,0
0,5,4,2,0.7642554121033278,0,60,13.937313956625092,0,0
18,1,3,17,0.44169793561991355,0,120,16.494418829477603,0,1
9,3,3,5,0.9323998140830942,0,15,3.3182831271029896,0,1
10,2,1,13,0.9015288036308848,0,45,8.710708867139266,0,1
9,1,7,17,0.09770396540755899,0,15,20.944135123890703,0,1
4,6,9,15,0.4678661649507444,1,30,12.659100881058363,0,1
11,3,5,6,0.12932193250189827,0,15,12.61776287857627,0,1
16,5,9,17,0.7344262114222926,0,30,14.68012660429963,0,1
1,4,7,4,0.10139517202234705,0,60,12.375144872607386,1,1
7,5,6,10,0.7187971975147427,0,15,14.13853701353485,0,1
22,4,1,0,0.8975300406943161,0,45,19.11250048764102,0,0
9,1,5,14,0.6736317534252193,0,60,4.870790489277189,0,1
3,6,1,1,0.13015588812807943,1,120,8.421892870549673,0,0
22,0,3,10,0.3467578560135275,0,60,8.651739328543204,0,1
10,2,3,10,0.5135399355783665,0,15,12.087727572805875,0,1
8,0,7,20,0.3272325413932865,0,30,2.783232413594574,0,0
17,2,8,19,0.5861339078528428,0,60,4.004357194187994,0,1
7,3,3,16,0.8083907958656986,0,15,7.172312147971521,0,0
3,2,6,17,0.9968772781321482,0,30,19.40824641545014,1,0
13,6,7,18,0.4466383272332577,1,30,14.671859769225042,0,0
14,4,9,15,0.25035671535232584,1,120,6.786274334325965,0,0
0,6,7,17,0.6093749563920805,0,45,2.867991256710378,0,1
0,5,7,8,0.23661184464224916,0,60,8.283063443592868,0,1
2,2,1,13,0.4721731059089268,0,15,11.392178904616468,0,1
10,3,10,14,0.5038611558813174,0,120,6.629676977418582,0,1
12,2,12,1,0.701147175583322,1,45,2.9249577893747922,0,0
5,0,8,1,0.22828453232529777,0,45,9.34153257598082,0,1
20,5,5,4,0.44068444266923146,0,120,9.46129520831743,0,1
19,0,8,19,0.27199383189866566,0,15,12.078382658987648,0,1
23,5,9,5,0.7214651883153311,0,45,12.71273396777457,0,1
21,4,6,0,0.16099510137791906,0,15,5.512296192831228,0,0
20,0,12,16,0.8124148994687487,0,60,9.607050963674103,0,0
15,0,5,16,0.345611636752985,0,15,13.743862749543013,0,1
17,1,4,3,0.623773358112243,1,45,12.217823966767632,0,0
4,1,2,20,0.36923371921277603,0,30,16.22472798961726,0,1
21,3,5,7,0.4739410524925436,0,45,5.50389348993518,0,1
10,0,8,20,0.3630456115050519,0,120,10.041484160129993,0,1
22,1,12,7,0.11596868827420326,0,30,5.98159996930623,0,1
6,3,8,10,0.9417645478232275,0,15,8.153425318472259,0,1
18,0,6,11,0.922227637311726,0,45,4.651650250231413,0,1
13,0,1,15,0.13318735841863005,0,15,9.981455810330056,0,1
2,0,7,11,0.49744846769718454,0,15,10.825716863158814,0,1
15,1,8,11,0.6718278251322791,1,15,5.424757555596158,0,0
6,2,3,10,0.11064551118404198,1,120,11.437532058254398,0,1
0,5,12,11,0.17703269591267667,0,45,1.4532687763469283,0,1
7,0,2,7,0.1581255790525754,1,30,9.129868341015468,1,0
4,3,5,8,0.5156616058502836,1,60,2.011061438813343,0,1
12,4,7,14,0.14031638130491064,0,120,23.140105238650865,0,1
8,1,2,20,0.5647112912707006,0,120,7.8381492387954905,0,1
6,6,4,18,0.09530241838412867,0,45,12.282515036836092,0,1
2,4,2,11,0.6854288184555658,0,120,6.683222669264454,0,1
2,2,1,4,0.8003437893038672,1,120,10.374234720704855,0,0
10,0,2,19,0.9313206318657382,0,120,2.086982512639955,0,0
7,3,5,0,0.36549635059148633,0,45,2.862893476533485,0,1
20,0,2,19,0.2607990610960055,1,120,1.110660000985842,0,0
19,3,7,10,0.159383427608765,0,15,8.602461399811673,0,1
17,5,10,20,0.5126423721869794,0,120,4.040375990098227,0,1
16,2,9,9,0.16200629774507092,0,120,13.626056028345655,0,1
12,3,4,16,0.29738862770648045,0,15,13.548481321808799,1,0
11,1,1,12,0.06187541672269903,0,15,18.01552682506409,0,1
12,4,10,19,0.2098177038128679,0,120,13.065010756304723,0,1
10,4,3,18,0.04231801617211073,1,120,4.911959415089878,0,0
19,5,4,11,0.3200248676636023,0,15,1.8137637590921682,0,1
0,6,7,20,0.608280116087591,0,30,20.326790977217797,0,1
22,5,8,17,0.30573340001994564,1,15,9.392737189201702,0,1
5,5,1,1,0.035878371940383125,0,60,8.61496280890598,0,1
1,0,6,6,0.14857275382381296,0,30,14.641311919377179,0,1
11,5,10,19,0.8733636927969647,0,15,3.3016009040823806,0,1
22,2,11,0,0.4441472986666687,1,15,17.49878681450591,0,0
23,6,4,14,0.5732379689199316,0,15,10.472120731214183,0,1
15,4,4,13,0.463503895580185,0,30,19.136948397001618,0,1
19,6,7,19,0.12027982047847541,0,15,1.2026357521989341,0,1
23,3,2,16,0.903746966885949,0,15,10.763347362658616,0,1
8,1,6,16,0.3714089307974141,0,30,5.544362721121058,0,1
13,2,8,19,0.7990928716632145,0,30,9.953612382150503,0,1
15,6,6,15,0.6262462414428882,0,45,11.53980251953537,0,1
11,2,5,0,0.43152748323656576,1,120,5.245438623091696,0,0
23,1,6,15,0.7233254439481708,0,45,11.631468615277758,0,1
20,6,8,11,0.5706768053271235,0,30,1.4532687763469283,0,1
15,5,1,15,0.8989369442203968,0,15,17.420891823513976,0,1
0,4,1,10,0.24960651951650914,0,30,2.011061438813343,0,1
14,4,9,3,0.46705889628978614,0,120,6.452878680055624,0,1
7,3,7,17,0.28386633567610886,0,45,11.678226310286364,0,1
19,4,1,0,0.1797882347071783,0,120,9.324350859430156,0,0
10,1,9,2,0.14073458398362582,1,60,6.820452718003414,0,0
4,3,8,2,0.8146807086977094,0,15,24.582466780772215,0,0
10,3,7,4,0.2245519116036253,0,60,8.039198395493703,0,1
3,2,7,17,0.46083790437811767,0,120,10.252030216266,0,1
1,5,4,5,0.8790177709935426,0,15,5.2511608345726195,0,1
20,0,4,1,0.9385837909261459,0,45,16.92698975382552,0,0
23,0,3,6,0.4688033532831105,0,60,13.323325959564214,1,1
5,2,5,20,0.8402183148192459,1,15,7.253628699178179,0,0
11,3,5,5,0.9297122966951683,0,30,16.44936395946596,0,1
2,4,3,7,0.2613546914222211,0,30,9.093008260493228,0,1
6,6,7,14,0.6973933326838523,0,60,14.592111198332933,0,1
11,0,12,16,0.3860428853565516,0,45,14.82472077105069,0,1
3,2,3,6,0.7741347153113246,0,30,16.048767666711058,0,1
